"sample","virus","viral_only_reads","disease","cell_type"
"SRR22753372","VZV_Ellen","0","Control","CD19"
"SRR22753373","combined_herpes_viruses","3","Control","CD19"
"SRR22753373","EBV","0","Control","CD19"
"SRR22753373","HCMV","0","Control","CD19"
"SRR22753373","HHV6B","0","Control","CD19"
"SRR22753373","HHV7","0","Control","CD19"
"SRR22753373","HSV1_KOS","5","Control","CD19"
"SRR22753373","HSV2_StrainG","4","Control","CD19"
"SRR22753373","KSHV","1","Control","CD19"
"SRR22753373","VZV_Ellen","0","Control","CD19"
"SRR22753374","combined_herpes_viruses","22","Control","CD14"
"SRR22753374","EBV","0","Control","CD14"
"SRR22753374","HCMV","0","Control","CD14"
"SRR22753374","HHV6B","3","Control","CD14"
"SRR22753374","HHV7","0","Control","CD14"
"SRR22753374","HSV1_KOS","42","Control","CD14"
"SRR22753374","HSV2_StrainG","5","Control","CD14"
"SRR22753374","KSHV","4","Control","CD14"
"SRR22753374","VZV_Ellen","0","Control","CD14"
"SRR22753375","combined_herpes_viruses","30","Control","CD14"
"SRR22753375","EBV","0","Control","CD14"
"SRR22753375","HCMV","0","Control","CD14"
"SRR22753375","HHV6B","2","Control","CD14"
"SRR22753375","HHV7","0","Control","CD14"
"SRR22753375","HSV1_KOS","42","Control","CD14"
"SRR22753375","HSV2_StrainG","1","Control","CD14"
"SRR22753375","KSHV","5","Control","CD14"
"SRR22753375","VZV_Ellen","0","Control","CD14"
"SRR22753376","combined_herpes_viruses","23","Control","CD14"
"SRR22753376","EBV","0","Control","CD14"
"SRR22753376","HCMV","0","Control","CD14"
"SRR22753376","HHV6B","1","Control","CD14"
"SRR22753376","HHV7","0","Control","CD14"
"SRR22753376","HSV1_KOS","43","Control","CD14"
"SRR22753376","HSV2_StrainG","5","Control","CD14"
"SRR22753376","KSHV","8","Control","CD14"
"SRR22753376","VZV_Ellen","0","Control","CD14"
"SRR22753377","combined_herpes_viruses","28","Control","CD14"
"SRR22753377","EBV","0","Control","CD14"
"SRR22753377","HCMV","0","Control","CD14"
"SRR22753377","HHV6B","0","Control","CD14"
"SRR22753377","HHV7","0","Control","CD14"
"SRR22753377","HSV1_KOS","46","Control","CD14"
"SRR22753377","HSV2_StrainG","2","Control","CD14"
"SRR22753377","KSHV","2","Control","CD14"
"SRR22753377","VZV_Ellen","0","Control","CD14"
"SRR22753378","combined_herpes_viruses","39","Control","CD4"
"SRR22753378","EBV","0","Control","CD4"
"SRR22753378","HCMV","0","Control","CD4"
"SRR22753378","HHV6B","4","Control","CD4"
"SRR22753378","HHV7","0","Control","CD4"
"SRR22753378","HSV1_KOS","47","Control","CD4"
"SRR22753378","HSV2_StrainG","4","Control","CD4"
"SRR22753378","KSHV","8","Control","CD4"
"SRR22753378","VZV_Ellen","0","Control","CD4"
"SRR22753379","combined_herpes_viruses","46","Control","CD4"
"SRR22753379","EBV","0","Control","CD4"
"SRR22753379","HCMV","0","Control","CD4"
"SRR22753379","HHV6B","10","Control","CD4"
"SRR22753379","HHV7","0","Control","CD4"
"SRR22753379","HSV1_KOS","67","Control","CD4"
"SRR22753379","HSV2_StrainG","5","Control","CD4"
"SRR22753379","KSHV","9","Control","CD4"
"SRR22753379","VZV_Ellen","0","Control","CD4"
"SRR22753380","combined_herpes_viruses","46","Control","CD4"
"SRR22753380","EBV","0","Control","CD4"
"SRR22753380","HCMV","0","Control","CD4"
"SRR22753380","HHV6B","3","Control","CD4"
"SRR22753380","HHV7","0","Control","CD4"
"SRR22753380","HSV1_KOS","64","Control","CD4"
"SRR22753380","HSV2_StrainG","6","Control","CD4"
"SRR22753380","KSHV","12","Control","CD4"
"SRR22753380","VZV_Ellen","0","Control","CD4"
"SRR22753381","combined_herpes_viruses","54","Control","CD4"
"SRR22753381","EBV","0","Control","CD4"
"SRR22753381","HCMV","0","Control","CD4"
"SRR22753381","HHV6B","1","Control","CD4"
"SRR22753381","HHV7","0","Control","CD4"
"SRR22753381","HSV1_KOS","62","Control","CD4"
"SRR22753381","HSV2_StrainG","6","Control","CD4"
"SRR22753381","KSHV","8","Control","CD4"
"SRR22753381","VZV_Ellen","0","Control","CD4"
"SRR22753382","combined_herpes_viruses","8","Control","CD4"
"SRR22753382","EBV","0","Control","CD4"
"SRR22753382","HCMV","0","Control","CD4"
"SRR22753382","HHV6B","2","Control","CD4"
"SRR22753382","HHV7","0","Control","CD4"
"SRR22753382","HSV1_KOS","10","Control","CD4"
"SRR22753382","HSV2_StrainG","9","Control","CD4"
"SRR22753382","KSHV","9","Control","CD4"
"SRR22753382","VZV_Ellen","0","Control","CD4"
"SRR22753383","combined_herpes_viruses","10","Control","CD4"
"SRR22753383","EBV","0","Control","CD4"
"SRR22753383","HCMV","0","Control","CD4"
"SRR22753383","HHV6B","0","Control","CD4"
"SRR22753383","HHV7","0","Control","CD4"
"SRR22753383","HSV1_KOS","15","Control","CD4"
"SRR22753383","HSV2_StrainG","5","Control","CD4"
"SRR22753383","KSHV","7","Control","CD4"
"SRR22753383","VZV_Ellen","0","Control","CD4"
"SRR22753384","combined_herpes_viruses","13","Control","CD4"
"SRR22753384","EBV","0","Control","CD4"
"SRR22753384","HCMV","0","Control","CD4"
"SRR22753384","HHV6B","0","Control","CD4"
"SRR22753384","HHV7","0","Control","CD4"
"SRR22753384","HSV1_KOS","17","Control","CD4"
"SRR22753384","HSV2_StrainG","3","Control","CD4"
"SRR22753384","KSHV","8","Control","CD4"
"SRR22753384","VZV_Ellen","0","Control","CD4"
"SRR22753385","combined_herpes_viruses","8","Control","CD4"
"SRR22753385","EBV","1","Control","CD4"
"SRR22753385","HCMV","0","Control","CD4"
"SRR22753385","HHV6B","0","Control","CD4"
"SRR22753385","HHV7","0","Control","CD4"
"SRR22753385","HSV1_KOS","16","Control","CD4"
"SRR22753385","HSV2_StrainG","5","Control","CD4"
"SRR22753385","KSHV","8","Control","CD4"
"SRR22753385","VZV_Ellen","0","Control","CD4"
"SRR22753386","combined_herpes_viruses","6","Juvenile Dermatomyositis","PBMC"
"SRR22753386","EBV","0","Juvenile Dermatomyositis","PBMC"
"SRR22753386","HCMV","0","Juvenile Dermatomyositis","PBMC"
"SRR22753386","HHV6B","6","Juvenile Dermatomyositis","PBMC"
"SRR22753386","HHV7","0","Juvenile Dermatomyositis","PBMC"
"SRR22753386","HSV1_KOS","1","Juvenile Dermatomyositis","PBMC"
"SRR22753386","HSV2_StrainG","2","Juvenile Dermatomyositis","PBMC"
"SRR22753386","KSHV","5","Juvenile Dermatomyositis","PBMC"
"SRR22753386","VZV_Ellen","0","Juvenile Dermatomyositis","PBMC"
"SRR22753387","combined_herpes_viruses","128","Juvenile Dermatomyositis","CD14"
"SRR22753387","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753387","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753387","HHV6B","2","Juvenile Dermatomyositis","CD14"
"SRR22753387","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753387","HSV1_KOS","171","Juvenile Dermatomyositis","CD14"
"SRR22753387","HSV2_StrainG","4","Juvenile Dermatomyositis","CD14"
"SRR22753387","KSHV","4","Juvenile Dermatomyositis","CD14"
"SRR22753387","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753388","combined_herpes_viruses","163","Juvenile Dermatomyositis","CD4"
"SRR22753388","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753388","HCMV","0","Juvenile Dermatomyositis","CD4"
"SRR22753388","HHV6B","1","Juvenile Dermatomyositis","CD4"
"SRR22753388","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753388","HSV1_KOS","229","Juvenile Dermatomyositis","CD4"
"SRR22753388","HSV2_StrainG","0","Juvenile Dermatomyositis","CD4"
"SRR22753388","KSHV","1","Juvenile Dermatomyositis","CD4"
"SRR22753388","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753389","combined_herpes_viruses","97","Juvenile Dermatomyositis","CD19"
"SRR22753389","EBV","0","Juvenile Dermatomyositis","CD19"
"SRR22753389","HCMV","1","Juvenile Dermatomyositis","CD19"
"SRR22753389","HHV6B","4","Juvenile Dermatomyositis","CD19"
"SRR22753389","HHV7","0","Juvenile Dermatomyositis","CD19"
"SRR22753389","HSV1_KOS","128","Juvenile Dermatomyositis","CD19"
"SRR22753389","HSV2_StrainG","3","Juvenile Dermatomyositis","CD19"
"SRR22753389","KSHV","7","Juvenile Dermatomyositis","CD19"
"SRR22753389","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753390","combined_herpes_viruses","68","Juvenile Dermatomyositis","CD14"
"SRR22753390","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753390","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753390","HHV6B","13","Juvenile Dermatomyositis","CD14"
"SRR22753390","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753390","HSV1_KOS","73","Juvenile Dermatomyositis","CD14"
"SRR22753390","HSV2_StrainG","5","Juvenile Dermatomyositis","CD14"
"SRR22753390","KSHV","12","Juvenile Dermatomyositis","CD14"
"SRR22753390","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753391","combined_herpes_viruses","107","Juvenile Dermatomyositis","CD8"
"SRR22753391","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753391","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753391","HHV6B","1","Juvenile Dermatomyositis","CD8"
"SRR22753391","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753391","HSV1_KOS","129","Juvenile Dermatomyositis","CD8"
"SRR22753391","HSV2_StrainG","6","Juvenile Dermatomyositis","CD8"
"SRR22753391","KSHV","2","Juvenile Dermatomyositis","CD8"
"SRR22753391","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753392","combined_herpes_viruses","79","Juvenile Dermatomyositis","CD8"
"SRR22753392","EBV","1","Juvenile Dermatomyositis","CD8"
"SRR22753392","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753392","HHV6B","1","Juvenile Dermatomyositis","CD8"
"SRR22753392","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753392","HSV1_KOS","101","Juvenile Dermatomyositis","CD8"
"SRR22753392","HSV2_StrainG","6","Juvenile Dermatomyositis","CD8"
"SRR22753392","KSHV","5","Juvenile Dermatomyositis","CD8"
"SRR22753392","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753393","combined_herpes_viruses","109","Juvenile Dermatomyositis","CD4"
"SRR22753393","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753393","HCMV","0","Juvenile Dermatomyositis","CD4"
"SRR22753393","HHV6B","6","Juvenile Dermatomyositis","CD4"
"SRR22753393","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753393","HSV1_KOS","131","Juvenile Dermatomyositis","CD4"
"SRR22753393","HSV2_StrainG","6","Juvenile Dermatomyositis","CD4"
"SRR22753393","KSHV","4","Juvenile Dermatomyositis","CD4"
"SRR22753393","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753394","combined_herpes_viruses","278","Juvenile Dermatomyositis","CD19"
"SRR22753394","EBV","6","Juvenile Dermatomyositis","CD19"
"SRR22753394","HCMV","0","Juvenile Dermatomyositis","CD19"
"SRR22753394","HHV6B","0","Juvenile Dermatomyositis","CD19"
"SRR22753394","HHV7","0","Juvenile Dermatomyositis","CD19"
"SRR22753394","HSV1_KOS","362","Juvenile Dermatomyositis","CD19"
"SRR22753394","HSV2_StrainG","11","Juvenile Dermatomyositis","CD19"
"SRR22753394","KSHV","2","Juvenile Dermatomyositis","CD19"
"SRR22753394","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753395","combined_herpes_viruses","6","Control","CD8"
"SRR22753395","EBV","0","Control","CD8"
"SRR22753395","HCMV","0","Control","CD8"
"SRR22753395","HHV6B","0","Control","CD8"
"SRR22753395","HHV7","0","Control","CD8"
"SRR22753395","HSV1_KOS","14","Control","CD8"
"SRR22753395","HSV2_StrainG","4","Control","CD8"
"SRR22753395","KSHV","13","Control","CD8"
"SRR22753395","VZV_Ellen","0","Control","CD8"
"SRR22753396","combined_herpes_viruses","26","Control","CD14"
"SRR22753396","EBV","0","Control","CD14"
"SRR22753396","HCMV","0","Control","CD14"
"SRR22753396","HHV6B","4","Control","CD14"
"SRR22753396","HHV7","0","Control","CD14"
"SRR22753396","HSV1_KOS","38","Control","CD14"
"SRR22753396","HSV2_StrainG","31","Control","CD14"
"SRR22753396","KSHV","46","Control","CD14"
"SRR22753396","VZV_Ellen","0","Control","CD14"
"SRR22753397","combined_herpes_viruses","37","Control","CD14"
"SRR22753397","EBV","0","Control","CD14"
"SRR22753397","HCMV","0","Control","CD14"
"SRR22753397","HHV6B","1","Control","CD14"
"SRR22753397","HHV7","0","Control","CD14"
"SRR22753397","HSV1_KOS","57","Control","CD14"
"SRR22753397","HSV2_StrainG","20","Control","CD14"
"SRR22753397","KSHV","41","Control","CD14"
"SRR22753397","VZV_Ellen","0","Control","CD14"
"SRR22753398","combined_herpes_viruses","49","Control","CD14"
"SRR22753398","EBV","0","Control","CD14"
"SRR22753398","HCMV","0","Control","CD14"
"SRR22753398","HHV6B","9","Control","CD14"
"SRR22753398","HHV7","0","Control","CD14"
"SRR22753398","HSV1_KOS","49","Control","CD14"
"SRR22753398","HSV2_StrainG","31","Control","CD14"
"SRR22753398","KSHV","44","Control","CD14"
"SRR22753398","VZV_Ellen","0","Control","CD14"
"SRR22753399","combined_herpes_viruses","38","Control","CD14"
"SRR22753399","EBV","2","Control","CD14"
"SRR22753399","HCMV","2","Control","CD14"
"SRR22753399","HHV6B","3","Control","CD14"
"SRR22753399","HHV7","0","Control","CD14"
"SRR22753399","HSV1_KOS","52","Control","CD14"
"SRR22753399","HSV2_StrainG","23","Control","CD14"
"SRR22753399","KSHV","33","Control","CD14"
"SRR22753399","VZV_Ellen","0","Control","CD14"
"SRR22753401","combined_herpes_viruses","388","Juvenile Dermatomyositis","CD8"
"SRR22753401","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753401","HCMV","5","Juvenile Dermatomyositis","CD8"
"SRR22753401","HHV6B","0","Juvenile Dermatomyositis","CD8"
"SRR22753401","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753401","HSV1_KOS","558","Juvenile Dermatomyositis","CD8"
"SRR22753401","HSV2_StrainG","7","Juvenile Dermatomyositis","CD8"
"SRR22753401","KSHV","2","Juvenile Dermatomyositis","CD8"
"SRR22753401","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753402","combined_herpes_viruses","116","Juvenile Dermatomyositis","CD4"
"SRR22753402","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753402","HCMV","0","Juvenile Dermatomyositis","CD4"
"SRR22753402","HHV6B","4","Juvenile Dermatomyositis","CD4"
"SRR22753402","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753402","HSV1_KOS","163","Juvenile Dermatomyositis","CD4"
"SRR22753402","HSV2_StrainG","1","Juvenile Dermatomyositis","CD4"
"SRR22753402","KSHV","6","Juvenile Dermatomyositis","CD4"
"SRR22753402","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753403","combined_herpes_viruses","418","Juvenile Dermatomyositis","CD19"
"SRR22753403","EBV","14","Juvenile Dermatomyositis","CD19"
"SRR22753403","HCMV","0","Juvenile Dermatomyositis","CD19"
"SRR22753403","HHV6B","0","Juvenile Dermatomyositis","CD19"
"SRR22753403","HHV7","0","Juvenile Dermatomyositis","CD19"
"SRR22753403","HSV1_KOS","528","Juvenile Dermatomyositis","CD19"
"SRR22753403","HSV2_StrainG","3","Juvenile Dermatomyositis","CD19"
"SRR22753403","KSHV","1","Juvenile Dermatomyositis","CD19"
"SRR22753403","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753404","combined_herpes_viruses","433","Juvenile Dermatomyositis","CD14"
"SRR22753404","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753404","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753404","HHV6B","6","Juvenile Dermatomyositis","CD14"
"SRR22753404","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753404","HSV1_KOS","617","Juvenile Dermatomyositis","CD14"
"SRR22753404","HSV2_StrainG","9","Juvenile Dermatomyositis","CD14"
"SRR22753404","KSHV","5","Juvenile Dermatomyositis","CD14"
"SRR22753404","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753405","combined_herpes_viruses","228","Juvenile Dermatomyositis","CD8"
"SRR22753405","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753405","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753405","HHV6B","2","Juvenile Dermatomyositis","CD8"
"SRR22753405","HHV7","1","Juvenile Dermatomyositis","CD8"
"SRR22753405","HSV1_KOS","383","Juvenile Dermatomyositis","CD8"
"SRR22753405","HSV2_StrainG","7","Juvenile Dermatomyositis","CD8"
"SRR22753405","KSHV","9","Juvenile Dermatomyositis","CD8"
"SRR22753405","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753406","combined_herpes_viruses","159","Juvenile Dermatomyositis","CD19"
"SRR22753406","EBV","0","Juvenile Dermatomyositis","CD19"
"SRR22753406","HCMV","4","Juvenile Dermatomyositis","CD19"
"SRR22753406","HHV6B","2","Juvenile Dermatomyositis","CD19"
"SRR22753406","HHV7","0","Juvenile Dermatomyositis","CD19"
"SRR22753406","HSV1_KOS","224","Juvenile Dermatomyositis","CD19"
"SRR22753406","HSV2_StrainG","6","Juvenile Dermatomyositis","CD19"
"SRR22753406","KSHV","10","Juvenile Dermatomyositis","CD19"
"SRR22753406","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753407","combined_herpes_viruses","202","Juvenile Dermatomyositis","CD4"
"SRR22753407","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753407","HCMV","1","Juvenile Dermatomyositis","CD4"
"SRR22753407","HHV6B","2","Juvenile Dermatomyositis","CD4"
"SRR22753407","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753407","HSV1_KOS","274","Juvenile Dermatomyositis","CD4"
"SRR22753407","HSV2_StrainG","9","Juvenile Dermatomyositis","CD4"
"SRR22753407","KSHV","7","Juvenile Dermatomyositis","CD4"
"SRR22753407","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753408","combined_herpes_viruses","133","Juvenile Dermatomyositis","CD19"
"SRR22753408","EBV","0","Juvenile Dermatomyositis","CD19"
"SRR22753408","HCMV","1","Juvenile Dermatomyositis","CD19"
"SRR22753408","HHV6B","7","Juvenile Dermatomyositis","CD19"
"SRR22753408","HHV7","0","Juvenile Dermatomyositis","CD19"
"SRR22753408","HSV1_KOS","177","Juvenile Dermatomyositis","CD19"
"SRR22753408","HSV2_StrainG","3","Juvenile Dermatomyositis","CD19"
"SRR22753408","KSHV","13","Juvenile Dermatomyositis","CD19"
"SRR22753408","VZV_Ellen","0","Juvenile Dermatomyositis","CD19"
"SRR22753409","combined_herpes_viruses","63","Juvenile Dermatomyositis","CD4"
"SRR22753409","EBV","0","Juvenile Dermatomyositis","CD4"
"SRR22753409","HCMV","0","Juvenile Dermatomyositis","CD4"
"SRR22753409","HHV6B","5","Juvenile Dermatomyositis","CD4"
"SRR22753409","HHV7","0","Juvenile Dermatomyositis","CD4"
"SRR22753409","HSV1_KOS","93","Juvenile Dermatomyositis","CD4"
"SRR22753409","HSV2_StrainG","5","Juvenile Dermatomyositis","CD4"
"SRR22753409","KSHV","6","Juvenile Dermatomyositis","CD4"
"SRR22753409","VZV_Ellen","0","Juvenile Dermatomyositis","CD4"
"SRR22753410","combined_herpes_viruses","79","Juvenile Dermatomyositis","CD14"
"SRR22753410","EBV","0","Juvenile Dermatomyositis","CD14"
"SRR22753410","HCMV","0","Juvenile Dermatomyositis","CD14"
"SRR22753410","HHV6B","2","Juvenile Dermatomyositis","CD14"
"SRR22753410","HHV7","0","Juvenile Dermatomyositis","CD14"
"SRR22753410","HSV1_KOS","106","Juvenile Dermatomyositis","CD14"
"SRR22753410","HSV2_StrainG","3","Juvenile Dermatomyositis","CD14"
"SRR22753410","KSHV","6","Juvenile Dermatomyositis","CD14"
"SRR22753410","VZV_Ellen","0","Juvenile Dermatomyositis","CD14"
"SRR22753411","combined_herpes_viruses","4","Control","CD8"
"SRR22753411","EBV","0","Control","CD8"
"SRR22753411","HCMV","0","Control","CD8"
"SRR22753411","HHV6B","1","Control","CD8"
"SRR22753411","HHV7","0","Control","CD8"
"SRR22753411","HSV1_KOS","5","Control","CD8"
"SRR22753411","HSV2_StrainG","7","Control","CD8"
"SRR22753411","KSHV","7","Control","CD8"
"SRR22753411","VZV_Ellen","0","Control","CD8"
"SRR22753412","combined_herpes_viruses","11","Control","CD8"
"SRR22753412","EBV","0","Control","CD8"
"SRR22753412","HCMV","0","Control","CD8"
"SRR22753412","HHV6B","3","Control","CD8"
"SRR22753412","HHV7","0","Control","CD8"
"SRR22753412","HSV1_KOS","16","Control","CD8"
"SRR22753412","HSV2_StrainG","7","Control","CD8"
"SRR22753412","KSHV","7","Control","CD8"
"SRR22753412","VZV_Ellen","0","Control","CD8"
"SRR22753413","combined_herpes_viruses","10","Control","CD8"
"SRR22753413","EBV","0","Control","CD8"
"SRR22753413","HCMV","0","Control","CD8"
"SRR22753413","HHV6B","0","Control","CD8"
"SRR22753413","HHV7","0","Control","CD8"
"SRR22753413","HSV1_KOS","11","Control","CD8"
"SRR22753413","HSV2_StrainG","3","Control","CD8"
"SRR22753413","KSHV","3","Control","CD8"
"SRR22753413","VZV_Ellen","0","Control","CD8"
"SRR22753414","combined_herpes_viruses","53","Juvenile Dermatomyositis","CD8"
"SRR22753414","EBV","0","Juvenile Dermatomyositis","CD8"
"SRR22753414","HCMV","0","Juvenile Dermatomyositis","CD8"
"SRR22753414","HHV6B","6","Juvenile Dermatomyositis","CD8"
"SRR22753414","HHV7","0","Juvenile Dermatomyositis","CD8"
"SRR22753414","HSV1_KOS","53","Juvenile Dermatomyositis","CD8"
"SRR22753414","HSV2_StrainG","5","Juvenile Dermatomyositis","CD8"
"SRR22753414","KSHV","2","Juvenile Dermatomyositis","CD8"
"SRR22753414","VZV_Ellen","0","Juvenile Dermatomyositis","CD8"
"SRR22753415","combined_herpes_viruses","12","Control","CD4"
"SRR22753415","EBV","0","Control","CD4"
"SRR22753415","HCMV","0","Control","CD4"
"SRR22753415","HHV6B","2","Control","CD4"
"SRR22753415","HHV7","0","Control","CD4"
"SRR22753415","HSV1_KOS","9","Control","CD4"
"SRR22753415","HSV2_StrainG","1","Control","CD4"
"SRR22753415","KSHV","3","Control","CD4"
"SRR22753415","VZV_Ellen","0","Control","CD4"
"SRR22753416","combined_herpes_viruses","6","Control","CD4"
"SRR22753416","EBV","0","Control","CD4"
"SRR22753416","HCMV","0","Control","CD4"
"SRR22753416","HHV6B","3","Control","CD4"
"SRR22753416","HHV7","0","Control","CD4"
"SRR22753416","HSV1_KOS","11","Control","CD4"
